v1,cleaned_text,length,label
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat,16,0
ham,ok lar joking wif u oni,6,0
spam,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs,20,1
ham,u dun say early hor u c already say,9,0
ham,nah dont think goes usf lives around though,8,0
spam,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv,17,1
ham,even brother like speak treat like aids patent,8,0
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,15,0
spam,winner valued network customer selected receivea prize reward claim call claim code kl valid hours,15,1
spam,mobile months u r entitled update latest colour mobiles camera free call mobile update co free,16,1
ham,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today,15,0
spam,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info,16,1
spam,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw,14,1
ham,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,16,0
ham,date sunday,2,0
spam,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,12,1
ham,oh kim watching,3,0
ham,eh u remember spell name yes v naughty make v wet,11,0
ham,fine thats way u feel thats way gota b,9,0
spam,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt poboxoxwwq,17,1
ham,seriously spell name,3,0
ham,im going try months ha ha joking,7,0
ham,pay first lar da stock comin,6,0
ham,aft finish lunch go str lor ard smth lor u finish ur lunch already,14,0
ham,ffffffffff alright way meet sooner,5,0
ham,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol,17,0
ham,lol always convincing,3,0
ham,catch bus frying egg make tea eating moms left dinner feel love,12,0
ham,im back amp packing car ill let know theres room,10,0
ham,ahhh work vaguely remember feel like lol,7,0
ham,wait thats still clear sure sarcastic thats x doesnt want live us,12,0
ham,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers,17,0
ham,k tell anything,3,0
ham,fear fainting housework quick cuppa,5,0
spam,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,13,1
ham,yup ok go home look timings msg xuhui going learn nd may lesson,13,0
ham,oops ill let know roommates done,6,0
ham,see letter b car,4,0
ham,anything lor u decide,4,0
ham,hello hows saturday go texting see youd decided anything tomo im trying invite anything,14,0
ham,pls go ahead watts wanted sure great weekend abiola,9,0
ham,forget tell want need crave love sweet arabian steed mmmmmm yummy,11,0
spam,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,16,1
ham,seeing,1,0
ham,great hope like man well endowed ltgt inches,8,0
ham,callsmessagesmissed calls,2,0
ham,didnt get hep b immunisation nigeria,6,0
ham,fair enough anything going,4,0
ham,yeah hopefully tyler cant could maybe ask around bit,9,0
ham,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers,18,0
ham,thinked first time saw class,5,0
ham,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,15,0
ham,k fyi x ride early tomorrow morning hes crashing place tonight,11,0
ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing,26,0
spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,18,1
ham,know mallika sherawat yesterday find lturlgt,6,0
spam,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss,17,1
ham,sorry ill call later meeting,5,0
ham,tell reached,2,0
ham,yesgauti sehwag odi series,4,0
ham,gonna pick burger way home cant even move pain killing,10,0
ham,ha ha ha good joke girls situation seekers,8,0
ham,part checking iq,3,0
ham,sorry roommates took forever ok come,6,0
ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,18,0
spam,valued customer pleased advise following recent review mob awarded bonus prize call,12,1
ham,today song dedicated day song u dedicate send ur valuable frnds first rply,13,0
spam,urgent ur awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt ls aj,15,1
spam,hear new divorce barbie comes kens stuff,7,1
ham,plane give month end,4,0
ham,wah lucky man save money hee,6,0
ham,finished class,2,0
ham,hi babe im home wanna something xx,7,0
ham,kkwhere youhow performed,3,0
ham,u call,2,0
ham,waiting machan call free,4,0
ham,thats cool gentleman treat dignity respect,6,0
ham,like peoples much shy pa,5,0
ham,operate ltgt,2,0
ham,still looking job much tas earn,6,0
ham,sorry ill call later,4,0
ham,k call ah,3,0
ham,ok way home hi hi,5,0
ham,place man,2,0
ham,yup next stop,3,0
ham,call later dont network urgnt sms,6,0
ham,real u getting yo need tickets one jacket im done already used multis,13,0
ham,yes started send requests make pain came back im back bed double coins factory gotta cash nitros,17,0
ham,im really still tonight babe,5,0
ham,ela kanoil download come wen ur free,7,0
ham,yeah dont stand close tho youll catch something,8,0
ham,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry,18,0
ham,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling,21,0
spam,please call customer service representative ampm guaranteed cash prize,9,1
ham,havent planning buy later check already lido got show e afternoon u finish work already,15,0
spam,free ringtone waiting collected simply text password mix verify get usher britney fml,13,1
ham,watching telugu moviewat abt u,5,0
ham,see finish loads loans pay,5,0
ham,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham,21,0
ham,please dont text anymore nothing else say,7,0
ham,okay name ur price long legal wen pick u ave x ams xx,13,0
ham,im still looking car buy gone driving test yet,9,0
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,15,0
ham,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,21,0
ham,umma life vava umma love lot dear,7,0
ham,thanks lot wishes birthday thanks making birthday truly memorable,9,0
ham,aight ill hit get cash,5,0
ham,would ip address test considering computer isnt minecraft server,9,0
ham,know grumpy old people mom like better lying always one play jokes,12,0
ham,dont worry guess hes busy,5,0
ham,plural noun research,3,0
ham,going dinnermsg,2,0
ham,im ok wif cos like try new things scared u dun like mah cos u said loud,17,0
spam,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm,16,1
ham,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened,19,0
ham,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went,15,0
spam,winner u specially selected receive holiday flights inc speak live operator claim pmin,13,1
ham,goodo yes must speak friday eggpotato ratio tortilla needed,9,0
ham,hmmmy uncle informed hes paying school directly pls buy food,10,0
spam,private account statement shows unredeemed bonus points claim call identifier code expires,12,1
spam,urgent mobile awarded bonus caller prize final try contact u call landline boxwrc ppm,14,1
ham,new address applespairsall malarky,4,0
spam,todays voda numbers ending selected receive award match please call quoting claim code standard rates app,16,1
ham,going sao mu today done,5,0
ham,predict wat time finish buying,5,0
ham,good stuff,2,0
ham,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise,18,0
ham,room,1,0
ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,19,0
ham,kkhow much cost,3,0
ham,im home,2,0
ham,dear call tmorrowpls accomodate,4,0
ham,first answer question,3,0
spam,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sptyrone,16,1
spam,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt eca pmsgp,23,1
ham,haf msn yijuehotmailcom,3,0
ham,call meet,2,0
ham,check rooms befor activities,4,0
spam,youll rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try,20,1
ham,got c lazy type forgot lect saw pouch like v nice,11,0
ham,k text youre way,4,0
ham,sir waiting mail,3,0
ham,swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni,18,0
ham,know pls open back,4,0
ham,yes see ya dot,4,0
ham,whats staff name taking class us,6,0
spam,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,21,1
ham,ummmawill call check inour life begin qatar pls pray hard,10,0
ham,ki deleted contact,3,0
ham,sindu got job birla soft,5,0
ham,wine flowing im nevering,4,0
ham,yup thk cine better cos need go plaza mah,9,0
ham,ok ur typical reply,4,0
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,15,0
ham,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one,36,0
ham,aaooooright work,2,0
ham,im leaving house,3,0
ham,hello love get interview today happy good boy think meare missing,11,0
spam,customer service annoncement new years delivery waiting please call arrange delivery,11,1
spam,winner u specially selected receive cash holiday flights inc speak live operator claim,13,1
ham,keep safe need miss already envy everyone sees real life,10,0
ham,new car house parentsi new job hand,7,0
ham,im love im excited day spend make happy,8,0
spam,pls stop bootydelious f inviting friend reply yes see wwwsmsacubootydelious stop send stop frnd,14,1
spam,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internetservice menu,20,1
ham,place ur points e cultures module already,7,0
spam,urgent trying contact last weekends draw shows prize guaranteed call claim code valid hrs,14,1
ham,hi frnd best way avoid missunderstding wit beloved ones,9,0
ham,great escape fancy bridge needs lager see tomo,8,0
ham,yes completely formclark also utter waste,6,0
ham,sir need axis bank account bank address,7,0
ham,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,16,0
ham,time coming later,3,0
ham,bloody hell cant believe forgot surname mr ill give u clue spanish begins,13,0
ham,well im gonna finish bath goodfine night,7,0
ham,let know youve got money carlos make call,8,0
ham,u still going mall,4,0
ham,turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth,16,0
ham,text doesnt reply let know log,6,0
