v1,cleaned_text,length
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat,16
ham,ok lar joking wif u oni,6
spam,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs,20
ham,u dun say early hor u c already say,9
ham,nah dont think goes usf lives around though,8
spam,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv,17
ham,even brother like speak treat like aids patent,8
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,15
spam,winner valued network customer selected receivea prize reward claim call claim code kl valid hours,15
spam,mobile months u r entitled update latest colour mobiles camera free call mobile update co free,16
ham,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today,15
spam,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info,16
spam,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw,14
ham,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,16
ham,date sunday,2
spam,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,12
ham,oh kim watching,3
ham,eh u remember spell name yes v naughty make v wet,11
ham,fine thats way u feel thats way gota b,9
spam,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt poboxoxwwq,17
ham,seriously spell name,3
ham,im going try months ha ha joking,7
ham,pay first lar da stock comin,6
ham,aft finish lunch go str lor ard smth lor u finish ur lunch already,14
ham,ffffffffff alright way meet sooner,5
ham,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol,17
ham,lol always convincing,3
ham,catch bus frying egg make tea eating moms left dinner feel love,12
ham,im back amp packing car ill let know theres room,10
ham,ahhh work vaguely remember feel like lol,7
ham,wait thats still clear sure sarcastic thats x doesnt want live us,12
ham,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers,17
ham,k tell anything,3
ham,fear fainting housework quick cuppa,5
spam,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,13
ham,yup ok go home look timings msg xuhui going learn nd may lesson,13
ham,oops ill let know roommates done,6
ham,see letter b car,4
ham,anything lor u decide,4
ham,hello hows saturday go texting see youd decided anything tomo im trying invite anything,14
ham,pls go ahead watts wanted sure great weekend abiola,9
ham,forget tell want need crave love sweet arabian steed mmmmmm yummy,11
spam,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,16
ham,seeing,1
ham,great hope like man well endowed ltgt inches,8
ham,callsmessagesmissed calls,2
ham,didnt get hep b immunisation nigeria,6
ham,fair enough anything going,4
ham,yeah hopefully tyler cant could maybe ask around bit,9
ham,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers,18
ham,thinked first time saw class,5
ham,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,15
ham,k fyi x ride early tomorrow morning hes crashing place tonight,11
ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing,26
spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,18
ham,know mallika sherawat yesterday find lturlgt,6
spam,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss,17
ham,sorry ill call later meeting,5
ham,tell reached,2
ham,yesgauti sehwag odi series,4
ham,gonna pick burger way home cant even move pain killing,10
ham,ha ha ha good joke girls situation seekers,8
ham,part checking iq,3
ham,sorry roommates took forever ok come,6
ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,18
spam,valued customer pleased advise following recent review mob awarded bonus prize call,12
ham,today song dedicated day song u dedicate send ur valuable frnds first rply,13
spam,urgent ur awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt ls aj,15
spam,hear new divorce barbie comes kens stuff,7
ham,plane give month end,4
ham,wah lucky man save money hee,6
ham,finished class,2
ham,hi babe im home wanna something xx,7
ham,kkwhere youhow performed,3
ham,u call,2
ham,waiting machan call free,4
ham,thats cool gentleman treat dignity respect,6
ham,like peoples much shy pa,5
ham,operate ltgt,2
ham,still looking job much tas earn,6
ham,sorry ill call later,4
ham,k call ah,3
ham,ok way home hi hi,5
ham,place man,2
ham,yup next stop,3
ham,call later dont network urgnt sms,6
ham,real u getting yo need tickets one jacket im done already used multis,13
ham,yes started send requests make pain came back im back bed double coins factory gotta cash nitros,17
ham,im really still tonight babe,5
ham,ela kanoil download come wen ur free,7
ham,yeah dont stand close tho youll catch something,8
ham,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry,18
ham,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling,21
spam,please call customer service representative ampm guaranteed cash prize,9
ham,havent planning buy later check already lido got show e afternoon u finish work already,15
spam,free ringtone waiting collected simply text password mix verify get usher britney fml,13
ham,watching telugu moviewat abt u,5
ham,see finish loads loans pay,5
ham,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham,21
ham,please dont text anymore nothing else say,7
ham,okay name ur price long legal wen pick u ave x ams xx,13
ham,im still looking car buy gone driving test yet,9
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,15
